Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C18, C19, C20, C21, C22, C23, C30, C31, C33, C34, C35, C36, C40, C41, C42, C43, C44, C46, C47, C48, C49, C50",0402,28,C_Generic,
"C16, C17, C3, C32, C4",0805,5,C_Generic,
"D1, D2, D3, D4",D_SMF,4,S07B-GS08,
"D10, D11, D12, D13, D5, D6, D7, D8, D9",LED_D5.0mm-4_RGB,9,yf923,
J1,TE_3-1734839-4_1x34-1MP_P0.5mm_Horizontal,1,Display,
L1,PinHeader_1x02_P2.54mm_Vertical,1,L_Iron,
M1,PinHeader_1x02_P2.54mm_Vertical,1,Motor_DC,
"Q1, Q3",SOT-23-3,2,Si2302A,
Q4,LED_D4.0mm,1,Q_Photo,
"R1, R11, R12, R13, R16, R18, R2, R20, R29, R36, R5, R7",0805,12,10k_0805,
"R10, R15, R17, R3, R4, R6, R8, R9",0805,8,330_0805,
RV1,TRIM_3362P-1-203LF,1,R_Potentiometer,
"SW1, SW10, SW11, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_PUSH-12mm,11,SW_Push,
U1,charge_controller_module_tp4056,1,charge controller,
U2,CKCS BS-01 MT-3608 Boost Converter,1,boost converter,
U3,SOT230P700X180-4N,1,LDL1117S33R,
U4,MODULE_ESP32_DEVKIT_V1,1,ESP32-DEVKIT-V1,
U5,SOT-563,1,TMP112xxDRL,
U6,PinHeader_1x03_P2.54mm_Vertical,1,vibrating_sensor,
U7,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,
U8,PinHeader_1x04_P2.54mm_Vertical,1,MQ-135 gas sensor,
